day_index,asof_or_hold,n_layers,gross_exposure,gross_return,two_way_turnover,cost,net_return,nav,drawdown
1,2026-08-11,1,1.0,-0.008339740311311364,0.9999999999999869,0.005999999999999921,-0.014339740311311286,0.9856602596886888,-0.014339740311311244
2,2026-08-12,1,1.0,-0.0024225675049110024,0.0,0.0,-0.0024225675049110024,0.9832724311726848,-0.016727568827315187
3,2026-08-13,1,1.0,-0.0027432211342025385,0.0,0.0,-0.0027432211342025385,0.9805750974588132,-0.019424902541186784
4,2026-08-14,1,1.0,-0.007987768055648489,0.0,0.0,-0.007987768055648489,0.9727424910191673,-0.02725750898083268
5,2026-08-17,1,1.0,0.002643494557712272,0.0,0.0,0.002643494557712272,0.975313930500232,-0.024686069499768037
6,2026-08-18,1,1.0,0.03555175215932088,1.0967117988394588,0.006580270793036753,0.02897148136628413,1.0035702198639966,0.0
7,2026-08-19,1,1.0,0.005493005925718985,0.0,0.0,0.005493005925718985,1.0090828370285847,0.0
8,2026-08-20,1,1.0,-0.008809309607427,0.0,0.0,-0.008809309607427,1.0001935138976592,-0.008809309607426874
9,2026-08-21,1,1.0,0.013935909267951125,0.0,0.0,0.013935909267951125,1.0141321199577302,0.0
10,2026-08-24,1,1.0,0.0015659463261674454,0.0,0.0,0.0015659463261674454,1.0157201964252265,0.0
11,2026-08-25,1,1.0,0.005944983185316236,1.1259689922480638,0.006755813953488383,-0.0008108307681721468,1.014896619238111,-0.0008108307681721216
12,2026-08-26,1,1.0,-0.026953857434619383,0.0,0.0,-0.026953857434619383,0.9875412404522897,-0.02774283318586268
13,2026-08-27,1,1.0,0.01644647371446774,0.0,0.0,0.01644647371446774,1.0037828115053413,-0.011752631248150958
14,2026-08-28,1,1.0,-0.009239555545908293,0.0,0.0,-0.009239555545908293,0.9945083044624098,-0.02088359770483139
15,2026-08-31,1,1.0,0.021655957115686835,0.0,0.0,0.021655957115686835,1.0160453336550421,0.0
16,2026-09-01,1,1.0,0.003233561680328569,1.015503875968989,0.006093023255813934,-0.002859461575485365,1.0131399910645043,-0.0028594615754854447
17,2026-09-02,1,1.0,-0.0069222086997276135,0.0,0.0,-0.0069222086997276135,1.0061268246043156,-0.009761876485418708
18,2026-09-03,1,1.0,0.023537882373635657,0.0,0.0,0.023537882373635657,1.0298089194548115,0.0
19,hold+1,1,1.0,-0.0317908183703627,0.0,0.0,-0.0317908183703627,0.9970704511402441,-0.03179081837036268
20,hold+2,1,1.0,0.007843070172772627,0.0,0.0,0.007843070172772627,1.004890544655735,-0.024197085816918706
