name,note,kind,hold_sessions,rebalance_stride,top_fraction,exit_fraction,hysteresis,nav_days,mean_two_way_turnover,mean_n_long,total_return,annualized_return,sharpe,max_drawdown,calmar,gross_sharpe,gross_total_return
overlay_5d_tb10,new 10-day sleeve every 5 sessions (2 layers),overlay,10,5,0.1,,,25,0.10952423792601891,,0.013968132260401944,0.15007192902149114,0.7665448685967448,-0.031174167373839046,4.813983553171962,1.5302489785083562,0.030680643665551566
book_5d_hyst_10_15,5-day rebalance plus 10/15 hysteresis,book,5,5,0.1,0.15,True,20,0.18683729858224737,559.0,0.007721339744879208,0.10176694294264887,0.5110264065881662,-0.031243043543771165,3.257267263353344,1.6170265984093992,0.030427628363776327
book_5d_tb5,"5-day rebalance, concentrated top/bottom 5%",book,5,5,0.05,0.05,False,20,0.2354082487803419,258.0,0.008290792303981442,0.10963742428246204,0.488622986258907,-0.039580558898873575,2.7699817115412744,1.6325338033883918,0.03699421137878911
overlay_1d_tb5,"same overlay, concentrated top/bottom 5%",overlay,10,1,0.05,,,27,0.11154099836270294,,0.006919550401785601,0.0664763197802345,0.40456215156103553,-0.03781436721700304,1.7579646222492848,1.192750756366721,0.02526578263821766
book_5d_tb5_hyst_5_8,"5-day rebalance, 5% enter, stay until 8%",book,5,5,0.05,0.08,True,20,0.210698806772686,275.25,0.005911787479560449,0.07709672740252893,0.3907752709503219,-0.03951594965664618,1.9510280803681015,1.4286511595657978,0.03151969593637749
book_5d_tb10,"full book rebalanced every 5 sessions, top/bottom 10%",book,5,5,0.1,0.1,False,20,0.2119092333528249,515.75,0.0048905446557350185,0.0633993090664815,0.3654066208751281,-0.03179081837036268,1.9942647694022926,1.6068287077981427,0.030611734572739024
book_1d_hyst_10_15,"daily mark, sell only after leaving top/bottom 15%",book,1,1,0.1,0.15,True,18,0.5785948017329973,595.8888888888889,0.0032048091185732375,0.045814058279042946,0.30135869330878495,-0.04115479627622132,1.1132130984575834,4.098620640455387,0.06783186842129951
overlay_1d_tb10,"frozen baseline: 10-layer daily overlay, top/bottom 10%",overlay,10,1,0.1,,,27,0.10623635608378998,,0.001245009233254546,0.011680549635657123,0.1520781456840945,-0.03376567016847709,0.34592974394928,1.0201153564826808,0.018619618980022956
